879,270,1,0,1,129
879,270,1,1,1,142
879,270,1,2,1,130
879,270,1,3,1,118
877,190,1,0,1,61
877,190,1,1,1,97
877,190,1,2,1,52
877,190,1,3,1,108
703,232,1,0,1,34
703,232,1,1,1,40
703,232,1,2,1,37
703,232,1,3,1,70
572,260,1,0,1,100
572,260,1,1,1,95
572,260,1,2,1,90
572,260,1,3,1,83
601,224,1,0,1,92
601,224,1,1,1,36
601,224,1,2,1,100
601,224,1,3,1,58
412,224,1,0,1,78
412,224,1,1,1,95
412,224,1,2,1,60
412,224,1,3,1,76
343,251,1,0,1,52
343,251,1,1,1,56
343,251,1,2,1,74
343,251,1,3,1,50
249,244,1,0,1,0
249,244,1,1,1,80
249,244,1,2,1,57
249,244,1,3,1,45
151,196,1,0,1,0
151,196,1,1,1,24
151,196,1,2,1,0
151,196,1,3,1,0
686,97,1,0,1,48
686,97,1,1,1,63
686,97,1,2,1,88
686,97,1,3,1,22
866,149,1,0,1,84
866,149,1,1,1,33
866,149,1,2,1,104
866,149,1,3,1,111
861,67,1,0,1,70
861,67,1,1,1,63
861,67,1,2,1,98
861,67,1,3,1,92
644,158,1,0,1,50
644,158,1,1,1,56
644,158,1,2,1,66
644,158,1,3,1,90
594,108,1,0,1,76
594,108,1,1,1,76
594,108,1,2,1,60
594,108,1,3,1,80
417,102,1,0,1,84
417,102,1,1,1,64
417,102,1,2,1,91
417,102,1,3,1,74
379,154,1,0,1,51
379,154,1,1,1,27
379,154,1,2,1,88
379,154,1,3,1,83
333,93,1,0,1,72
333,93,1,1,1,53
333,93,1,2,1,81
333,93,1,3,1,69
231,90,1,0,1,22
231,90,1,1,1,24
231,90,1,2,1,21
231,90,1,3,1,0
140,132,1,0,1,45
140,132,1,1,1,46
140,132,1,2,1,0
140,132,1,3,1,22
277,165,1,0,1,72
277,165,1,1,1,47
277,165,1,2,1,0
277,165,1,3,1,45
651,314,1,0,1,85
651,314,1,1,1,63
651,314,1,2,1,103
651,314,1,3,1,85
169,299,1,0,1,49
169,299,1,1,1,0
169,299,1,2,1,0
169,299,1,3,1,0
46,160,1,0,1,0
46,160,1,1,1,0
46,160,1,2,1,0
46,160,1,3,1,0
358,14,1,0,1,0
358,14,1,1,1,0
358,14,1,2,1,0
358,14,1,3,1,0
651,5,1,0,1,0
651,5,1,1,1,54
651,5,1,2,1,55
651,5,1,3,1,77
940,161,1,0,1,0
940,161,1,1,1,54
940,161,1,2,1,99
940,161,1,3,1,100
397,281,2,0,1,71
397,281,2,1,1,57
397,281,2,2,1,0
397,281,2,3,1,47
286,249,2,0,1,0
286,249,2,1,1,0
286,249,2,2,1,0
286,249,2,3,1,24
190,247,2,0,1,0
190,247,2,1,1,0
190,247,2,2,1,0
190,247,2,3,1,0
46,231,2,0,1,0
46,231,2,1,1,0
46,231,2,2,1,0
46,231,2,3,1,0
330,180,2,0,1,22
330,180,2,1,1,25
330,180,2,2,1,23
330,180,2,3,1,0
284,79,2,0,1,0
284,79,2,1,1,0
284,79,2,2,1,0
284,79,2,3,1,0
187,76,2,0,1,0
187,76,2,1,1,0
187,76,2,2,1,0
187,76,2,3,1,0
47,95,2,0,1,0
47,95,2,1,1,0
47,95,2,2,1,0
47,95,2,3,1,0
496,92,2,0,1,22
496,92,2,1,1,0
496,92,2,2,1,22
496,92,2,3,1,0
653,192,2,0,1,67
653,192,2,1,1,22
653,192,2,2,1,47
653,192,2,3,1,26
709,251,2,0,1,45
709,251,2,1,1,23
