948.5	160.5	1	0	0	0	0	0
948.5	160.5	1	1	54	0	0	0
948.5	160.5	1	3	100	0	0	22
880.25	268.25	1	1	142	0	0	0
884.5	190	1	0	61	0	70	68
698.5	237.75	1	2	37	24	96	68
649.75	306	1	0	85	0	79	58
649.75	306	1	1	63	0	0	52
685.25	96.5	1	2	88	0	0	76
645.75	10	1	0	0	0	75	71
645.75	10	1	3	77	0	22	70
599.75	111.5	1	2	60	0	105	100
570.5	256.75	1	0	100	75	101	101
570.5	256.75	1	2	90	0	89	77
413.75	103.5	1	0	84	47	102	87
413.75	103.5	1	1	64	77	103	100
413.75	103.5	1	3	74	72	96	86
376	163.25	1	0	51	85	62	27
376	163.25	1	1	27	50	31	34
376	163.25	1	3	83	52	102	32
361.5	11.5	1	2	0	23	47	76
332.75	92.5	1	0	72	79	54	51
332.75	92.5	1	1	53	47	47	84
332.75	92.5	1	2	81	94	69	22
332.75	92.5	1	3	69	85	55	67
168.25	301	1	3	0	53	22	45
241.75	90	1	1	24	58	48	44
58.5	157.25	1	0	0	91	22	0
48.5	113.75	2	3	0	89	48	69
186.75	71.25	2	2	0	45	0	68
65.25	217.75	2	1	0	79	32	72
65.25	217.75	2	3	0	90	53	69
285.75	78.25	2	2	0	22	73	88
285.75	78.25	2	3	0	0	70	73
186.5	246.25	2	0	0	22	28	81
288.5	244.75	2	1	0	0	36	96
498.25	96.5	2	3	0	0	118	93
708.75	246.75	2	0	45	0	46	97
708.75	246.75	2	3	73	0	98	107
807.75	71	2	1	23	0	24	34
807.25	253	2	0	72	0	59	85
938.75	108	2	2	68	0	46	92
941.5	233.5	2	0	72	0	45	76
